GB_GCA_000010565.1	Pelotomaculum thermopropionicum SI
RS_GCF_000234095.1	Selenomonas infelix ATCC 43532
RS_GCF_000234115.1	Alloprevotella rava F0323
RS_GCF_000234135.1	Selenomonas noxia F0398
RS_GCF_000234355.1	Gluconobacter morbifer G707
RS_GCF_000234545.1	Campylobacter jejuni subsp. jejuni D2600
RS_GCF_000234585.1	Mycobacterium thermoresistibile ATCC 19527
RS_GCF_000234765.1	Corynebacterium casei UCMA 3821
RS_GCF_000234825.3	Leuconostoc mesenteroides subsp. mesenteroides J18
RS_GCF_000235405.2	Fervidobacterium pennivorans DSM 9078
RS_GCF_000235425.2	Frankia sp. CN3
RS_GCF_000235445.1	Johnsonella ignava ATCC 51276
RS_GCF_000235465.1	Fusobacterium sp. oral taxon 370 str. F0437
RS_GCF_000235485.1	Streptococcus sp. oral taxon 058 str. F0407
RS_GCF_000235505.1	Hungatella hathewayi WAL-18680
RS_GCF_000235585.1	Paenibacillus terrae HPL-003
RS_GCF_000235605.1	Desulfosporosinus orientis DSM 765
RS_GCF_000235625.1	Marinobacter manganoxydans MnI7-9
RS_GCF_000235645.1	Staphylococcus simiae CCM 7213
RS_GCF_000235665.1	Crocosphaera watsonii WH 0003
RS_GCF_000235725.1	Halomonas sp. HAL1
RS_GCF_000235745.1	Pseudomonas stutzeri SDM-LAC
RS_GCF_000235805.1	Pediococcus acidilactici MA18/5M
RS_GCF_000235885.1	Prevotella stercorea DSM 18206
RS_GCF_000236035.1	Halomonas boliviensis LC1
RS_GCF_000236065.1	Burkholderia sp. YI23
RS_GCF_000236085.2	Spiroplasma melliferum KC3
RS_GCF_000236165.1	Fluoribacter dumoffii NY 23
RS_GCF_000236215.2	Burkholderia cenocepacia H111
RS_GCF_000236405.1	Blattabacterium sp.
RS_GCF_000236565.1	Mesorhizobium alhagi CCNWXJ12-2
RS_GCF_000236585.1	Thermus sp. CCB_US3_UF1
RS_GCF_000236625.2	Halomonas sp. GFAJ-1
RS_GCF_000236645.1	Pseudovibrio sp. FO-BEG1
RS_GCF_000236665.1	Dechlorosoma suillum PS
RS_GCF_000236685.1	Sphaerochaeta pleomorpha str. Grapes
RS_GCF_000236705.1	Owenweeksia hongkongensis DSM 17368
RS_GCF_000236785.1	Achromobacter arsenitoxydans SY8
RS_GCF_000236805.1	Paenibacillus peoriae KCTC 3763
RS_GCF_000236865.1	Senegalimassilia anaerobia JC110
RS_GCF_000236925.1	Staphylococcus argenteus
RS_GCF_000236985.1	Saccharomonospora azurea SZMC 14600
RS_GCF_000237065.1	Pseudomonas fluorescens F113
RS_GCF_000237085.1	[Clostridium] clariflavum DSM 19732
RS_GCF_000237145.1	Actinoplanes sp. SE50/110
RS_GCF_000237205.1	Simkania negevensis Z
RS_GCF_000237285.1	Helicobacter bizzozeronii CIII-1
RS_GCF_000237305.1	Streptomyces cattleya NRRL 8057 / DSM 46488
RS_GCF_000237365.1	Azospirillum brasilense Sp245
RS_GCF_000237805.1	Jonquetella anthropi DSM 22815
RS_GCF_000237825.1	Thermanaerovibrio velox DSM 12556
RS_GCF_000237845.1	Rickettsia slovaca 13-B
RS_GCF_000237885.1	Pseudomonas stutzeri ATCC 14405 / CCUG 16156
RS_GCF_000237995.1	Pediococcus claussenii ATCC BAA-344
RS_GCF_000238055.2	Oribacterium parvum ACB1
RS_GCF_000238075.1	Oribacterium asaccharolyticum ACB7
RS_GCF_000238095.2	Peptostreptococcaceae bacterium CM2
RS_GCF_000238115.1	Peptostreptococcaceae bacterium ACC19a
RS_GCF_000238135.1	Peptostreptococcaceae bacterium CM5
RS_GCF_000238215.1	Tannerella forsythia 92A2
RS_GCF_000238255.2	Pseudoalteromonas spongiae UST010723-006
RS_GCF_000238275.2	Pseudoalteromonas undina DSM 6065
RS_GCF_000238295.2	Pseudoalteromonas rubra DSM 6842
RS_GCF_000238315.2	Pseudoalteromonas piscicida JCM 20779
RS_GCF_000238335.2	Pseudoalteromonas marina DSM 17587
RS_GCF_000238355.1	Pseudoalteromonas haloplanktis ATCC 14393
RS_GCF_000238375.2	Pseudoalteromonas citrea DSM 8771
RS_GCF_000238395.2	Pseudoalteromonas arctica A 37-1-2
RS_GCF_000238595.1	Acidovorax sp. NO-1
RS_GCF_000238615.1	Synergistes sp. 3_1_syn1
RS_GCF_000238635.1	Subdoligranulum sp. 4_3_54A2FAA
RS_GCF_000238675.1	Bacillus smithii 7_3_47FAA
RS_GCF_000238695.1	Tannerella sp. 6_1_58FAA_CT1
RS_GCF_000238755.1	Campylobacter sp. 10_1_50
RS_GCF_000238775.1	Acaryochloris sp. CCMEE 5410
RS_GCF_000238795.1	Haemophilus sputorum CCUG 13788
RS_GCF_000238815.1	SAR116 cluster alpha proteobacterium HIMB100
RS_GCF_000238895.1	Pseudoalteromonas sp. BSi20429
RS_GCF_000238915.1	Arthrobacter globiformis NBRC 12137
RS_GCF_000238995.1	Mycoplasma haemocanis str. Illinois
RS_GCF_000239075.1	Streptomyces sp. W007
RS_GCF_000239135.1	Rhodococcus rhodochrous BKS6-46
RS_GCF_000239155.1	Actinoalloteichus spitiensis RMV-1378
RS_GCF_000239255.1	Hafnia alvei ATCC 51873
RS_GCF_000239275.1	Anaeroglobus geminatus F0357
RS_GCF_000239335.1	Yokenella regensburgei ATCC 43003
RS_GCF_000239355.1	Cardiobacterium valvarum F0432
RS_GCF_000239475.1	Borrelia garinii BgVir
RS_GCF_000239695.1	Actinomyces graevenitzii C83
RS_GCF_000239715.1	Actinomyces sp. oral taxon 849 str. F0330
RS_GCF_000239755.1	Bradyrhizobium sp. ORS 285
RS_GCF_000239775.1	Bradyrhizobium sp. ORS 375
RS_GCF_000239795.1	Bradyrhizobium sp. STM 3809
RS_GCF_000239815.1	Bradyrhizobium sp. STM 3843
RS_GCF_000239855.1	Pseudoalteromonas sp. BSi20652
RS_GCF_000239935.1	Leuconostoc citreum LBAE E16
RS_GCF_000239955.1	Weissella confusa LBAE C39-2
RS_GCF_000239975.1	Enterobacter cloacae EcWSU1
RS_GCF_000240075.2	Flavobacterium columnare ATCC 49512
RS_GCF_000240165.1	Streptomyces cattleya NRRL 8057 / DSM 46488
RS_GCF_000240185.1	Klebsiella pneumoniae subsp. pneumoniae HS11286
RS_GCF_000240225.1	Patulibacter medicamentivorans
RS_GCF_000240325.1	Klebsiella michiganensis
RS_GCF_000240565.1	Neisseria meningitidis Nm3127
RS_GCF_000240585.1	Neisseria meningitidis Nm2732
RS_GCF_000240665.1	Neisseria meningitidis Nm1140
RS_GCF_000241055.1	Oenococcus kitaharae DSM 17330
RS_GCF_000241165.1	Pseudoalteromonas sp. BSi20439
RS_GCF_000241185.1	Pseudoalteromonas sp. BSi20495
RS_GCF_000241265.1	Gordonia araii NBRC 100433
RS_GCF_000241305.1	Gordonia effusa NBRC 100432
RS_GCF_000241325.1	Gordonia polyisoprenivorans NBRC 16320 / JCM 10675
RS_GCF_000241345.1	Gordonia amarae NBRC 15530
RS_GCF_000241385.1	Vibrio sp. EJY3
RS_GCF_000241405.1	Listeria innocua ATCC 33091
RS_GCF_000241465.1	Sphingomonas echinoides ATCC 14820
RS_GCF_000241485.1	Sphingomonas sp. PAMC 26605
RS_GCF_000241525.1	Comamonas testosteroni ATCC 11996
RS_GCF_000241785.1	Vibrio fischeri SR5
RS_GCF_000241815.1	Caldithrix abyssi DSM 13497
RS_GCF_000241835.1	Streptomyces coelicoflavus ZG0656
RS_GCF_000241895.1	Corynebacterium diphtheriae 241
RS_GCF_000241915.1	Corynebacterium diphtheriae INCA 402
RS_GCF_000241935.1	Corynebacterium diphtheriae BH8
RS_GCF_000241955.1	Rahnella aquatilis CIP 78.65 / ATCC 33071
RS_GCF_000242115.1	Pseudomonas extremaustralis 14-3 substr. 14-3b
RS_GCF_000242155.1	Lachnospiraceae bacterium 7_1_58FAA
RS_GCF_000242175.1	Erysipelotrichaceae bacterium 6_1_45
RS_GCF_000242235.1	Stomatobaculum longum
RS_GCF_000242255.2	Frateuria aurantia DSM 6220
RS_GCF_000242275.1	Lactobacillus kisonensis F0435
RS_GCF_000242295.1	Haemophilus sp. oral taxon 851 str. F0397
RS_GCF_000242315.1	Lachnospiraceae bacterium oral taxon 082 str. F0431
RS_GCF_000242335.1	Prevotella dentalis DSM 3688
RS_GCF_000242415.2	Wolbachia pipientis wAlbB
RS_GCF_000242435.1	Dialister succinatiphilus YIT 11850
RS_GCF_000242455.2	Singulisphaera acidiphila DSM 18658
RS_GCF_000242595.2	Spirochaeta africana DSM 8902
RS_GCF_000242615.2	Holophaga foetida DSM 6591
RS_GCF_000242635.2	Solitalea canadensis DSM 3403
RS_GCF_000242655.1	Pseudomonas sp. PAMC 25886
RS_GCF_000242675.1	Eubacterium infirmum F0142
RS_GCF_000242715.1	Streptomyces acidiscabies 84-104
RS_GCF_000242815.1	Janthinobacterium lividum PAMC 25724
RS_GCF_000242835.1	Sphingomonas sp. PAMC 26617
RS_GCF_000242895.2	Bacillus sp. 1NLA3E
RS_GCF_000242915.1	Sulfurimonas gotlandica GD1
RS_GCF_000242935.2	Opitutaceae bacterium TAV5
RS_GCF_000242955.1	Eubacterium sp. 3_1_31
RS_GCF_000242975.1	Fusobacterium nucleatum subsp. animalis F0419
RS_GCF_000242995.2	Fusobacterium ulcerans 12-1B
RS_GCF_000243015.1	Prevotella maculosa OT 289
RS_GCF_000243035.1	Prevotella micans F0438
RS_GCF_000243075.1	Oceanimonas sp. GK1
RS_GCF_000243095.1	Cupriavidus basilensis OR16
RS_GCF_000243115.2	Niabella soli DSM 19437
RS_GCF_000243135.2	Desulfitobacterium dichloroeliminans LMG P-21439
RS_GCF_000243155.2	Desulfitobacterium dehalogenans ATCC 51507
RS_GCF_000243215.1	Odoribacter laneus YIT 12061
RS_GCF_000243235.1	Gillisia limnaea DSM 15749
RS_GCF_000243275.1	Myroides odoratus DSM 2801
RS_GCF_000243335.1	Leptonema illini DSM 21528
RS_GCF_000243395.2	Saccharomonospora glauca K62
RS_GCF_000243415.2	Mycobacterium tusciae JS617
RS_GCF_000243475.1	Geobacter metallireducens RCH3
RS_GCF_000243495.2	Opitutaceae bacterium TAV1
RS_GCF_000243535.2	Leptospira noguchii str. 1993005606
RS_GCF_000243595.1	Leptospira weilii str. Ecochallenge
RS_GCF_000243675.2	Leptospira inadai serovar Lyme str. 10
RS_GCF_000243715.2	Leptospira broomii serovar Hurstbridge str. 5399
RS_GCF_000243735.2	Leptospira kmetyi serovar Malaysia str. Bejo-Iso9
RS_GCF_000243815.2	Leptospira alexanderi serovar Manhao 3 str. L 60
RS_GCF_000244515.1	Leptospira kirschneri serovar Valbuzzi str. 200702274
RS_GCF_000244755.1	Leptospira licerasiae serovar Varillal str. VAR 010
RS_GCF_000244815.1	Leptospira weilii serovar Topaz str. LT2116
RS_GCF_000244855.1	Coprobacillus sp. 8_2_54BFAA
RS_GCF_000244875.1	Clostridium sp. BNL1100
RS_GCF_000244895.1	Desulfosporosinus youngiae DSM 17734
RS_GCF_000244915.1	Bradyrhizobium sp. WSM471
RS_GCF_000244935.1	Bradyrhizobium sp. WSM1253
RS_GCF_000244955.1	Saccharomonospora marina XMU15
RS_GCF_000244975.1	Saccharomonospora cyanea NA-134
RS_GCF_000244995.1	Burkholderiales bacterium JOSHI_001
RS_GCF_000245015.1	Beggiatoa alba B18LD
RS_GCF_000245035.1	Bacillus subtilis subsp. spizizenii DV1-B-1
RS_GCF_000245055.1	Desulfovibrio sp. U5L
RS_GCF_000245075.1	Acetobacteraceae bacterium AT-5844
RS_GCF_000245315.1	Bacillus vallismortis DV1-F-3
RS_GCF_000245335.1	Bacillus mojavensis RO-H-1 / KCTC 3706
RS_GCF_000245355.1	Streptomyces hygroscopicus subsp. jinggangensis 5008
RS_GCF_000245555.1	Paenibacillus dendritiformis C454
RS_GCF_000245715.1	Paenibacillus sp. Aloe-11
RS_GCF_000245735.1	Alishewanella jeotgali KCTC 22429
RS_GCF_000245755.1	Helcococcus kunzii ATCC 51366
RS_GCF_000245775.1	Megamonas funiformis YIT 11815
RS_GCF_000245795.1	Facklamia languida CCUG 37842
RS_GCF_000245815.1	Dolosigranulum pigrum ATCC 51524
RS_GCF_000246555.1	Leptospira borgpetersenii serovar Kenya str. TE 0159
RS_GCF_000246835.1	Streptococcus infantarius subsp. infantarius CJ18
RS_GCF_000246855.1	Niastella koreensis GR20-10
RS_GCF_000246875.1	Halomonas sp. KM-1
RS_GCF_000246895.1	Clostridium arbusti SL206
RS_GCF_000246925.1	Peptoniphilus rhinitidis 1-13
RS_GCF_000246945.1	Myroides injenensis M09-0166
RS_GCF_000246965.1	Sporolactobacillus vineae DSM 21990 / SL153
RS_GCF_000247475.1	Rhizobium sp. PDO1-076
RS_GCF_000247495.1	Psychrobacter sp. PAMC 21119
RS_GCF_000247565.1	Wigglesworthia glossinidia endosymbiont of Glossina morsitans morsitans
RS_GCF_000247605.1	Acetobacterium woodii DSM 1030
RS_GCF_000247625.1	Rickettsia sibirica subsp. mongolitimonae HA-91
RS_GCF_000247645.1	Salinibacterium sp. PAMC 21357
RS_GCF_000247715.1	Gordonia polyisoprenivorans VH2
RS_GCF_000247775.1	Lactobacillus gastricus PS3
RS_GCF_000247995.1	Mobilicoccus pelagius NBRC 104925
RS_GCF_000248015.1	Atlantibacter hermannii NBRC 105704
RS_GCF_000248035.1	Gordonia terrae NBRC 100016
RS_GCF_000248055.1	Gordonia sputi NBRC 100414
RS_GCF_000248075.1	Gordonia otitidis NBRC 100426
RS_GCF_000248095.2	Lactobacillus mucosae LM1
RS_GCF_000248135.1	Acinetobacter ursingii DSM 16037 / CIP 107286
RS_GCF_000248155.1	Acinetobacter parvus DSM 16617 / CIP 108168
RS_GCF_000248375.1	Corynebacterium pseudotuberculosis 316
RS_GCF_000250615.1	Pseudomonas fragi B25
RS_GCF_000250635.1	Saprospira grandis str. Lewin
RS_GCF_000250655.1	Paenibacillus mucilaginosus 3016
RS_GCF_000250675.2	Nocardia brasiliensis ATCC 700358
RS_GCF_000250735.1	Anaerophaga thermohalophila str. Valhall
RS_GCF_000250775.1	Brucella melitensis S66
RS_GCF_000250875.1	Sutterella parvirubra YIT 11816
RS_GCF_000251145.1	Sphingomonas sp. PAMC 26621
RS_GCF_000251185.1	Pseudomonas fuscovaginae UPB0736
RS_GCF_000251205.1	Ochrobactrum anthropi CTS-325
RS_GCF_000251485.1	Streptococcus pneumoniae GA14373
RS_GCF_000251665.1	Streptococcus pneumoniae GA40410
RS_GCF_000252125.1	Flavobacterium frigoris PS1
RS_GCF_000252165.1	Glaciecola punicea ACAM 611
RS_GCF_000252205.1	Streptococcus pneumoniae GA02506
RS_GCF_000252365.1	Rickettsia slovaca str. D-CWPP
RS_GCF_000252445.1	Deinococcus gobiensis I-0
RS_GCF_000252625.1	Listeria fleischmannii subsp. coloradonensis
RS_GCF_000252835.1	Thermus parvatiensis
RS_GCF_000252855.1	Riemerella anatipestifer ATCC 11845 / DSM 15868
RS_GCF_000252955.1	Xenorhabdus nematophila ATCC 19061
RS_GCF_000252995.1	Salmonella bongori NCTC 12419
RS_GCF_000253015.1	Bartonella clarridgeiae 73
RS_GCF_000253035.1	Parachlamydia acanthamoebae UV-7
RS_GCF_000253075.1	Mycoplasma mycoides subsp. capri LC str. 95010
RS_GCF_000253095.1	Mycoplasma leachii 99/014/6
RS_GCF_000253115.1	Thiomonas arsenitoxydans
RS_GCF_000253155.1	Streptococcus oralis Uo5
RS_GCF_000253235.1	Streptomyces venezuelae ATCC 10712
RS_GCF_000253255.1	Novosphingobium sp. PP1Y
RS_GCF_000253275.1	Flavobacterium branchiophilum FL-15
RS_GCF_000253295.1	Hyphomicrobium sp. MC1
RS_GCF_000253315.1	Streptococcus salivarius JIM8777
RS_GCF_000253335.1	Streptococcus salivarius CCHSS3
RS_GCF_000253435.1	Campylobacter coli 90-3
RS_GCF_000253635.1	Campylobacter coli 80352
RS_GCF_000253775.1	Campylobacter coli 132-6
RS_GCF_000253855.2	Campylobacter coli 1948
RS_GCF_000253875.1	Campylobacter coli 1957
RS_GCF_000253955.2	Campylobacter coli 317/04
RS_GCF_000254135.1	Campylobacter coli LMG 9860
RS_GCF_000254215.1	Campylobacter coli H56
RS_GCF_000254275.1	Campylobacter jejuni subsp. jejuni 51494
RS_GCF_000254355.1	Campylobacter jejuni subsp. jejuni LMG 23263
RS_GCF_000254495.1	Campylobacter jejuni subsp. jejuni LMG 23357
RS_GCF_000254515.1	Campylobacter jejuni subsp. jejuni ATCC 33560
RS_GCF_000254615.1	Campylobacter jejuni subsp. jejuni 2008-894
RS_GCF_000254795.1	Campylobacter jejuni subsp. jejuni 1997-11
RS_GCF_000255015.1	Campylobacter jejuni subsp. jejuni 1893
RS_GCF_000255095.1	Campylobacter jejuni subsp. jejuni LMG 23211
RS_GCF_000255115.2	Desulfosporosinus acidiphilus SJ4
RS_GCF_000255135.1	Marinitoga piezophila KA3
RS_GCF_000255195.1	Corynebacterium diphtheriae HC04
RS_GCF_000255295.1	Corallococcus coralloides DSM 2259
RS_GCF_000255315.1	Pantoea sp. Sc1
RS_GCF_000255355.1	Rickettsia helvetica C9P9
RS_GCF_000255455.1	Aquimarina agarilytica ZC1
RS_GCF_000255495.1	Lactobacillus vini DSM 20605
RS_GCF_000255555.1	Treponema saccharophilum DSM 2985
RS_GCF_000255615.2	Ruminiclostridium thermocellum AD2
RS_GCF_000255635.1	Kingella kingae PYKK081
RS_GCF_000255655.1	Schlesneria paludicola DSM 18645
RS_GCF_000255705.1	Zavarzinella formosa DSM 19928
RS_GCF_000255955.1	Helicobacter pylori ELS37
RS_GCF_000256035.1	Helicobacter pylori NAD1
RS_GCF_000256075.1	Helicobacter pylori NAB47
RS_GCF_000256565.1	Herbaspirillum lusitanum P6-12
RS_GCF_000257205.1	Vibrio ordalii ATCC 33509
RS_GCF_000257395.1	Diplorickettsia massiliensis 20B
RS_GCF_000257435.1	Rickettsia conorii subsp. indica ITTR
RS_GCF_000257455.1	Streptococcus oralis SK610
RS_GCF_000257475.1	Streptococcus oralis SK100
RS_GCF_000257495.1	Streptococcus oralis SK10
RS_GCF_000257545.3	Pseudomonas mandelii JR-1
RS_GCF_000257585.1	Streptococcus salivarius PS4
RS_GCF_000257645.1	Serratia sp. M24T3
RS_GCF_000257665.1	Candidatus Aquiluna sp. IMCC13023
RS_GCF_000257705.1	Lachnoanaerobaculum saburreum F0468
RS_GCF_000257745.1	Mycobacterium xenopi RIVM700367
RS_GCF_000257805.1	Streptococcus mitis SK616
RS_GCF_000257865.1	Streptococcus mitis SK575
RS_GCF_000257905.1	Streptococcus mitis SK579
RS_GCF_000257925.1	Prevotella sp. oral taxon 306 str. F0472
RS_GCF_000258175.1	Saccharomonospora xinjiangensis XJ-54
RS_GCF_000258205.1	Rothia aeria F0474
RS_GCF_000258245.1	Thermus thermophilus JL-18
RS_GCF_000258345.2	Candidatus Hamiltonella defensa MED
RS_GCF_000258405.1	Ignavibacterium album JCM 16511
RS_GCF_000258495.1	Pedobacter agri PB92
RS_GCF_000258535.2	Paenibacillus mucilaginosus K02
RS_GCF_000258595.1	Streptomyces somaliensis DSM 40738
RS_GCF_000258765.1	Gillisia marina
RS_GCF_000258945.1	Mycoplasma canis UF31
RS_GCF_000259075.1	Marinilabilia salmonicolor JCM 21150
RS_GCF_000259095.1	Citreicella sp. 357
RS_GCF_000259115.1	Pseudoalteromonas flavipulchra JG1
RS_GCF_000259175.1	Providencia stuartii MRSN 2154
RS_GCF_000259235.1	Helicobacter pylori HUP-B14
RS_GCF_000259255.1	Helicobacter cetorum MIT 00-7128
RS_GCF_000259275.1	Helicobacter cetorum MIT 99-5656
RS_GCF_000259315.1	Campylobacter concisus UNSWCD
RS_GCF_000259345.1	Borrelia crocidurae str. Achema
RS_GCF_000259365.1	Bacillus sp. JS
RS_GCF_000259505.1	Streptococcus sp. SK643
RS_GCF_000259525.1	Streptococcus sp. SK140
RS_GCF_000259575.1	gamma proteobacterium BDW918
RS_GCF_000259875.1	Vibrio campbellii DS40M4
RS_GCF_000260115.1	Joostella marina DSM 19592
RS_GCF_000260135.1	Thiothrix nivea DSM 5205
RS_GCF_000260275.1	Staphylococcus pettenkoferi VCU012
RS_GCF_000260395.1	Lactobacillus suebicus DSM 5007 / KCTC 3549
RS_GCF_000260415.1	Lactobacillus mali KCTC 3596 / DSM 20444
RS_GCF_000260435.1	Lactobacillus zeae DSM 20178 / KCTC 3804
RS_GCF_000260455.1	Lactobacillus versmoldensis DSM 14857 / KCTC 3814
RS_GCF_000260635.1	Lactobacillus acidipiscis KCTC 13900
RS_GCF_000260655.1	Neisseria sicca VK64
RS_GCF_000260675.1	Haemophilus paraphrohaemolyticus HK411
RS_GCF_000260695.1	Streptococcus parasanguinis F0449
RS_GCF_000260715.1	Bifidobacterium animalis subsp. animalis ATCC 25527
RS_GCF_000260755.1	Streptococcus infantis ATCC 700779
RS_GCF_000260775.1	Lactobacillus malefermentans DSM 5705 / KCTC 3548
RS_GCF_000260795.1	Treponema sp. JC4
RS_GCF_000260815.1	Rhodococcus imtechensis RKJ300 / JCM 13270
RS_GCF_000260835.1	Imtechella halotolerans K1
RS_GCF_000260965.1	Methylophaga frappieri
RS_GCF_000260985.3	Methylophaga nitratireducenticrescens
RS_GCF_000261005.1	Sinorhizobium sp. CCBAU 05631
RS_GCF_000261025.1	Prevotella intermedia 17
RS_GCF_000261045.2	Serratia plymuthica PRI-2C
RS_GCF_000261285.1	Haemophilus parainfluenzae HK2019
RS_GCF_000261345.2	Streptomyces globisporus C-1027
RS_GCF_000261365.1	Herbaspirillum sp. GW103
RS_GCF_000261485.1	Ensifer sojae CCBAU 05684
RS_GCF_000261505.1	Bradyrhizobium elkanii CCBAU 05737
RS_GCF_000261545.1	Bradyrhizobium japonicum CCBAU 15354
RS_GCF_000261565.1	Bradyrhizobium japonicum CCBAU 15517
RS_GCF_000261625.1	Bradyrhizobium japonicum CCBAU 83623
RS_GCF_000261645.1	Bradyrhizobium liaoningense CCBAU 05525
RS_GCF_000261665.1	Bradyrhizobium liaoningense CCBAU 83689
RS_GCF_000261685.1	Bradyrhizobium sp. CCBAU 43298
RS_GCF_000261785.1	Bradyrhizobium yuanmingense CCBAU 05623
RS_GCF_000262045.1	Bacillus siamensis KCTC 13613
RS_GCF_000262065.2	Pseudomonas pseudoalcaligenes KF707 / NBRC 110670
RS_GCF_000262085.1	Aerococcus viridans LL1
RS_GCF_000262145.1	Streptococcus parasanguinis FW213
RS_GCF_000262165.1	Mycobacterium sp. MOTT36Y
RS_GCF_000262245.1	Pasteurella bettyae CCUG 2042
RS_GCF_000262265.1	Haemophilus parahaemolyticus HK385
RS_GCF_000262285.1	Haemophilus haemolyticus HK386
RS_GCF_000262305.1	Shimwellia blattae DSM 4481 / NBRC 105725
RS_GCF_000262325.2	Pseudomonas fluorescens A506
RS_GCF_000262345.1	Streptomyces xiaopingdaonensis
RS_GCF_000262405.1	Microvirga lotononidis
RS_GCF_000262445.1	Thermoanaerobacter siderophilus SR4
RS_GCF_000262465.1	Frankia sp. QA3
RS_GCF_000262545.1	Prevotella bivia DSM 20514
RS_GCF_000262655.1	Helicobacter pylori XZ274
RS_GCF_000262695.1	Burkholderia sp. KJ006
RS_GCF_000262715.1	Blattabacterium sp.
RS_GCF_000262735.1	Bacillus methanolicus MGA3
RS_GCF_000262755.1	Bacillus methanolicus PB1
RS_GCF_000263055.1	Rickettsia honei RB
RS_GCF_000263195.1	Emticicia oligotrophica DSM 17448
RS_GCF_000263275.1	Helicobacter bizzozeronii CCUG 35545
RS_GCF_000263355.1	Cellvibrio sp. BR
RS_GCF_000263395.1	Pseudomonas stutzeri TS44
RS_GCF_000263475.1	Gardnerella vaginalis 55152
RS_GCF_000263495.1	Gardnerella vaginalis 1400E
RS_GCF_000263515.1	Gardnerella vaginalis 00703C2mash
RS_GCF_000263595.1	Gardnerella vaginalis 1500E
RS_GCF_000263615.1	Gardnerella vaginalis 00703Bmash
RS_GCF_000263635.1	Gardnerella vaginalis 00703Dmash
RS_GCF_000263655.1	Gardnerella vaginalis 6119V5
RS_GCF_000263715.2	Pseudomonas synxantha BG33R
RS_GCF_000263775.1	Staphylococcus capitis QN1
RS_GCF_000263855.1	Pseudomonas sp. M47T1
RS_GCF_000264055.1	Flavobacterium sp. ACAM 123
RS_GCF_000264295.1	Rhodanobacter spathiphylli B39
RS_GCF_000264315.1	Rhodanobacter fulvus Jip2
RS_GCF_000264335.1	Rhodanobacter sp. 115
RS_GCF_000264375.1	Rhodanobacter thiooxydans LCS2
RS_GCF_000264415.1	Planococcus antarcticus DSM 14505
RS_GCF_000264435.2	Enterovibrio norvegicus FF-454
RS_GCF_000264455.2	Tistrella mobilis KA081020-065
RS_GCF_000264725.1	Acinetobacter sp. HA
RS_GCF_000264765.2	Edwardsiella anguillarum ET080813
RS_GCF_000264785.1	Edwardsiella ictaluri ATCC 33202
RS_GCF_000264945.1	Sphingobium indicum B90A
RS_GCF_000265055.1	Nitratireductor aquibiodomus RA22
RS_GCF_000265075.1	Nitritalea halalkaliphila LW7
RS_GCF_000265205.3	Sinorhizobium fredii USDA 257
RS_GCF_000265225.2	Rickettsia sp. MEAM1
RS_GCF_000265245.1	Halomonas smyrnensis AAD6
RS_GCF_000265295.1	Sulfurospirillum barnesii SES-3
RS_GCF_000265365.1	Alistipes finegoldii DSM 17242
RS_GCF_000265385.1	Aequorivita sublithincola DSM 14238
RS_GCF_000265405.1	Belliella baltica DSM 15883
RS_GCF_000265425.1	Terriglobus roseus DSM 18391
RS_GCF_000265465.1	Ornithobacterium rhinotracheale DSM 15997
RS_GCF_000265505.1	Flexibacter litoralis DSM 6794
RS_GCF_000265825.1	Xanthomonas axonopodis pv. manihotis str. CIO1
RS_GCF_000266585.1	Xanthomonas axonopodis pv. manihotis str. UG44
RS_GCF_000266865.1	Mycoplasma agalactiae 14628
RS_GCF_000266885.1	Turneriella parva DSM 21527
RS_GCF_000266905.1	Mycobacterium chubuense NBB4
RS_GCF_000266925.1	Anaerobaculum mobile DSM 13181
RS_GCF_000266945.1	Desulfomonile tiedjei DSM 6799
RS_GCF_000267545.1	Pseudomonas stutzeri CCUG 29243
RS_GCF_000268305.3	Streptococcus canis FSL Z3-227
RS_GCF_000269565.1	Coprobacillus sp. D6
RS_GCF_000269605.1	Scardovia wiggsiae F0424
RS_GCF_000269685.1	Staphylococcus hominis subsp. hominis ZBW5
RS_GCF_000269805.1	Actinomyces massiliensis 4401292
RS_GCF_000269845.1	Parascardovia denticolens IPLA 20019
RS_GCF_000269865.1	Fictibacillus macauensis ZFHKF-1
RS_GCF_000269905.1	Alkalibacillus haloalkaliphilus C5
RS_GCF_000269925.1	Lactococcus garvieae ATCC 49156
RS_GCF_000269945.1	Lactococcus garvieae Lg2
RS_GCF_000269985.1	Kitasatospora setae KM-6054
RS_GCF_000270005.1	Helicobacter pylori F16
RS_GCF_000270025.1	Helicobacter pylori F30
RS_GCF_000270045.1	Helicobacter pylori F32
RS_GCF_000270065.1	Helicobacter pylori F57
RS_GCF_000270085.1	Erysipelothrix rhusiopathiae str. Fujisawa
RS_GCF_000270145.1	Streptococcus gallolyticus subsp. gallolyticus ATCC 43143
RS_GCF_000270165.1	Streptococcus pasteurianus ATCC 43144
RS_GCF_000270185.1	Melissococcus plutonius ATCC 35311
RS_GCF_000270205.1	Candidatus Arthromitus sp. SFB-mouse-Japan
RS_GCF_000270225.1	Porphyromonas gingivalis TDC60
RS_GCF_000270245.1	Microlunatus phosphovorus NM-1
RS_GCF_000270285.1	Eggerthella sp. YY7918
RS_GCF_000270305.1	Clostridium sp. SY8519
RS_GCF_000270465.1	Staphylococcus lugdunensis N920143
